id,date,ticket,title,project,comments,user,of,time
155,2014-08-18,895,"[SDS] MaJ du modèle",SysFera,"Temps passé sur la PR de Rodrigue puis à lire les modifications du modèle.",augustin,1257,1.0
156,2014-08-18,1011,"WB: appliquer les changements de modèle faits par Rodrigue",SysFera,"Rien de spécial, IntelliJ a bien aidé pour renommer/effacer.",augustin,1254,3.0
158,2014-08-18,944,"[WB] Internationnaliser activity report",SysFera,"Worked with Kevin to learn how Activity Report works, and how to improve it.",augustin,1254,2.0
163,2014-08-18,1010,"Update webbaord model",SysFera,"N/A",r,1257,2.0
164,2014-08-18,1007,"refactoring job db model",SysFera,"tests",r,1257,4.5
279,2014-08-18,896,"[VISHNU] Enlever les ID générés en base de données et en faire une config",SysFera,"N/A",keo,1257,4.0
284,2014-08-18,1021,"Formation LMS",SysFera,"N/A",keo,1252,4.0
355,2014-08-18,964,"Congés",SysFera,"N/A",absila,60,7.7
219,2014-08-18,872,"Création de la CLI",BioAster,"N/A",olivier,1233,8.0
106,2014-08-19,964,"Congés",SysFera,"N/A",phi,60,7.7
159,2014-08-19,944,"[WB] Internationnaliser activity report",SysFera,"Pas mal de temps passé à jongler avec les BDD, et à ré-évaluer l'architecture progressivement. Au final, ça tourne pas mal.",augustin,1254,7.0
165,2014-08-19,1007,"refactoring job db model",SysFera,"tests",r,1257,7.0
280,2014-08-19,896,"[VISHNU] Enlever les ID générés en base de données et en faire une config",SysFera,"N/A",keo,1257,4.0
285,2014-08-19,1021,"Formation LMS",SysFera,"N/A",keo,1252,4.0
356,2014-08-19,964,"Congés",SysFera,"N/A",absila,60,7.7
160,2014-08-19,999,"Pb de trad FMS page d'un work",ROMEO,"N/A",augustin,1254,1.0
220,2014-08-19,872,"Création de la CLI",BioAster,"N/A",olivier,1233,8.0
107,2014-08-20,964,"Congés",SysFera,"N/A",phi,60,7.7
162,2014-08-20,827,"[WB] user/list ne prends pas en compte offset et max",SysFera,"Pas mal galéré pour faire le tri dans Users : il y a beaucoup de nettoyage à faire...",augustin,1254,5.5
166,2014-08-20,1007,"refactoring job db model",SysFera,"tests and debug",r,1257,5.0
167,2014-08-20,1012,"WB: Intégrer les clefs étrangères de Machine (?) dans Filetransfer",SysFera,"test and debug",r,1254,2.0
281,2014-08-20,896,"[VISHNU] Enlever les ID générés en base de données et en faire une config",SysFera,"N/A",keo,1257,3.0
286,2014-08-20,1021,"Formation LMS",SysFera,"N/A",keo,1252,5.0
357,2014-08-20,964,"Congés",SysFera,"N/A",absila,60,7.7
161,2014-08-20,999,"Pb de trad FMS page d'un work",ROMEO,"N/A",augustin,1254,2.0
222,2014-08-20,575,"Site non sécurisé",ROMEO,"N/A",olivier,1259,2.0
221,2014-08-20,872,"Création de la CLI",BioAster,"N/A",olivier,1233,6.0
108,2014-08-21,964,"Congés",SysFera,"N/A",phi,60,7.7
168,2014-08-21,827,"[WB] user/list ne prends pas en compte offset et max",SysFera,"Minor additions to the Job, Work, and User searches.",augustin,1254,1.5
178,2014-08-21,966,"Bug WB",SysFera,"Ajouté la recherche dynamique à des pages",augustin,1258,3.0
176,2014-08-21,912,"Portal : nettoyage des log.X de Grails",SysFera,"N/A",augustin,1254,1.0
184,2014-08-21,1007,"refactoring job db model",SysFera,"fixed dans le webboard",r,1257,3.0
